issue_year,volume,issue,article_id,publication_date,online_date,supplementary_asset_count,code_asset_count,status
2023,5,3,s42256-023-00628-2,2023/03,2023/03/13,1,0,ok
2023,5,3,s42256-023-00629-1,2023/03,2023/03/20,1,0,ok
2023,5,3,s42256-023-00643-3,2023/03,2023/03/23,0,0,ok
2023,5,4,s42256-023-00624-6,2023/04,2023/04/03,1,0,ok
2023,5,4,s42256-023-00630-8,2023/04,2023/03/09,1,0,ok
2023,5,4,s42256-023-00632-6,2023/04,2023/03/16,3,0,ok
2023,5,4,s42256-023-00633-5,2023/04,2023/04/06,0,0,ok
2023,5,4,s42256-023-00634-4,2023/04,2023/03/27,2,0,ok
2023,5,4,s42256-023-00635-3,2023/04,2023/04/03,10,0,ok
2023,5,4,s42256-023-00636-2,2023/04,2023/04/03,2,0,ok
2023,5,4,s42256-023-00638-0,2023/04,2023/04/06,1,0,ok
2023,5,4,s42256-023-00639-z,2023/04,2023/04/06,1,0,ok
2023,5,4,s42256-023-00640-6,2023/04,2023/04/24,5,0,ok
2023,5,4,s42256-023-00641-5,2023/04,2023/03/31,0,0,ok
2023,5,4,s42256-023-00642-4,2023/04,2023/04/10,6,0,ok
2023,5,4,s42256-023-00644-2,2023/04,2023/03/31,0,0,ok
2023,5,4,s42256-023-00645-1,2023/04,2023/04/24,0,0,ok
2023,5,4,s42256-023-00655-z,2023/04,2023/04/24,0,0,ok
2023,5,5,s42256-023-00637-1,2023/05,2023/04/06,0,0,ok
2023,5,5,s42256-023-00646-0,2023/05,2023/05/04,1,0,ok
2023,5,5,s42256-023-00648-y,2023/05,2023/05/04,1,0,ok
2023,5,5,s42256-023-00649-x,2023/05,2023/04/17,0,0,ok
2023,5,5,s42256-023-00650-4,2023/05,2023/05/08,3,0,ok
2023,5,5,s42256-023-00651-3,2023/05,2023/04/28,0,0,ok
2023,5,5,s42256-023-00653-1,2023/05,2023/05/04,1,0,ok
2023,5,5,s42256-023-00654-0,2023/05,2023/05/04,3,0,ok
2023,5,5,s42256-023-00656-y,2023/05,2023/05/08,3,0,ok
2023,5,5,s42256-023-00658-w,2023/05,2023/05/16,0,0,ok
2023,5,5,s42256-023-00659-9,2023/05,2023/05/23,0,0,ok
2023,5,5,s42256-023-00660-2,2023/05,2023/05/23,0,0,ok
2023,5,5,s42256-023-00678-6,2023/05,2023/05/23,0,0,ok
2023,5,6,s42256-023-00647-z,2023/06,2023/06/01,1,0,ok
2023,5,6,s42256-023-00657-x,2023/06,2023/05/22,1,0,ok
2023,5,6,s42256-023-00661-1,2023/06,2023/05/25,0,0,ok
2023,5,6,s42256-023-00662-0,2023/06,2023/06/01,0,0,ok
2023,5,6,s42256-023-00663-z,2023/06,2023/05/29,2,0,ok
2023,5,6,s42256-023-00664-y,2023/06,2023/06/07,0,0,ok
2023,5,6,s42256-023-00666-w,2023/06,2023/06/01,0,0,ok
2023,5,6,s42256-023-00667-9,2023/06,2023/06/05,1,0,ok
2023,5,6,s42256-023-00668-8,2023/06,2023/06/12,1,0,ok
2023,5,6,s42256-023-00669-7,2023/06,2023/06/07,1,0,ok
2023,5,6,s42256-023-00671-z,2023/06,2023/05/29,6,0,ok
2023,5,6,s42256-023-00672-y,2023/06,2023/06/08,0,0,ok
2023,5,6,s42256-023-00673-x,2023/06,2023/06/22,0,0,ok
2023,5,6,s42256-023-00674-w,2023/06,2023/06/12,0,0,ok
2023,5,6,s42256-023-00676-8,2023/06,2023/06/12,10,0,ok
2023,5,6,s42256-023-00677-7,2023/06,2023/06/22,2,0,ok
2023,5,6,s42256-023-00681-x,2023/06,2023/06/06,0,0,ok
2023,5,6,s42256-023-00686-6,2023/06,2023/06/22,0,0,ok
2023,5,7,s42256-023-00652-2,2023/07,2023/07/17,1,0,ok
2023,5,7,s42256-023-00665-x,2023/07,2023/06/01,0,0,ok
2023,5,7,s42256-023-00670-0,2023/07,2023/06/12,0,0,ok
2023,5,7,s42256-023-00679-5,2023/07,2023/06/22,3,0,ok
2023,5,7,s42256-023-00680-y,2023/07,2023/06/22,2,0,ok
2023,5,7,s42256-023-00682-w,2023/07,2023/07/13,15,1,ok
2023,5,7,s42256-023-00683-9,2023/07,2023/07/06,2,0,ok
2023,5,7,s42256-023-00684-8,2023/07,2023/07/17,2,0,ok
2023,5,7,s42256-023-00685-7,2023/07,2023/07/17,1,0,ok
2023,5,7,s42256-023-00687-5,2023/07,2023/07/21,4,0,ok
2023,5,7,s42256-023-00688-4,2023/07,2023/07/10,1,0,ok
2023,5,7,s42256-023-00690-w,2023/07,2023/07/12,0,0,ok
2023,5,7,s42256-023-00693-7,2023/07,2023/06/28,0,0,ok
2023,5,7,s42256-023-00703-8,2023/07,2023/07/21,0,0,ok
2023,5,8,s42256-023-00689-3,2023/08,2023/07/27,8,0,ok
2023,5,8,s42256-023-00691-9,2023/08,2023/07/20,9,0,ok
2023,5,8,s42256-023-00692-8,2023/08,2023/07/27,2,0,ok
2023,5,8,s42256-023-00694-6,2023/08,2023/07/20,5,0,ok
2023,5,8,s42256-023-00695-5,2023/08,2023/07/28,0,0,ok
2023,5,8,s42256-023-00697-3,2023/08,2023/07/31,2,0,ok
2023,5,8,s42256-023-00698-2,2023/08,2023/08/10,0,0,ok
2023,5,8,s42256-023-00699-1,2023/08,2023/08/09,0,0,ok
2023,5,8,s42256-023-00700-x,2023/08,2023/08/14,1,0,ok
2023,5,8,s42256-023-00701-w,2023/08,2023/08/21,6,0,ok
2023,5,8,s42256-023-00702-9,2023/08,2023/08/10,8,0,ok
2023,5,8,s42256-023-00704-7,2023/08,2023/08/07,2,0,ok
2023,5,8,s42256-023-00705-6,2023/08,2023/08/21,0,0,ok
2023,5,8,s42256-023-00706-5,2023/08,2023/08/21,0,0,ok
2023,5,8,s42256-023-00710-9,2023/08,2023/08/21,0,0,ok
2023,5,8,s42256-023-00713-6,2023/08,2023/08/08,0,0,ok
2023,5,9,s42256-023-00707-4,2023/09,2023/08/14,9,0,ok
2023,5,9,s42256-023-00708-3,2023/09,2023/08/17,2,0,ok
2023,5,9,s42256-023-00709-2,2023/09,2023/09/07,4,0,ok
2023,5,9,s42256-023-00711-8,2023/09,2023/09/20,2,0,ok
2023,5,9,s42256-023-00712-7,2023/09,2023/09/07,1,0,ok
2023,5,9,s42256-023-00715-4,2023/09,2023/09/07,1,0,ok
2023,5,9,s42256-023-00716-3,2023/09,2023/09/14,4,0,ok
2023,5,9,s42256-023-00717-2,2023/09,2023/09/11,0,0,ok
2023,5,9,s42256-023-00718-1,2023/09,2023/09/14,2,0,ok
2023,5,9,s42256-023-00730-5,2023/09,2023/09/20,0,0,ok
2023,5,10,s42256-023-00714-5,2023/10,2023/10/05,1,0,ok
2023,5,10,s42256-023-00719-0,2023/10,2023/10/02,1,0,ok
2023,5,10,s42256-023-00720-7,2023/10,2023/10/02,5,0,ok
2023,5,10,s42256-023-00721-6,2023/10,2023/10/09,2,0,ok
2023,5,10,s42256-023-00722-5,2023/10,2023/10/05,2,1,ok
2023,5,10,s42256-023-00723-4,2023/10,2023/09/28,10,0,ok
2023,5,10,s42256-023-00724-3,2023/10,2023/10/02,3,0,ok
2023,5,10,s42256-023-00725-2,2023/10,2023/10/05,1,0,ok
2023,5,10,s42256-023-00726-1,2023/10,2023/10/19,1,0,ok
2023,5,10,s42256-023-00727-0,2023/10,2023/10/05,1,0,ok
2023,5,10,s42256-023-00728-z,2023/10,2023/10/05,12,0,ok
2023,5,10,s42256-023-00729-y,2023/10,2023/10/19,3,1,ok
2023,5,10,s42256-023-00732-3,2023/10,2023/10/04,0,0,ok
2023,5,10,s42256-023-00733-2,2023/10,2023/10/09,0,0,ok
2023,5,10,s42256-023-00755-w,2023/10,2023/10/19,0,0,ok
2023,5,11,s42256-023-00731-4,2023/11,2023/10/09,5,0,ok
2023,5,11,s42256-023-00734-1,2023/11,2023/10/19,6,0,ok
2023,5,11,s42256-023-00735-0,2023/11,2023/10/16,0,0,ok
2023,5,11,s42256-023-00736-z,2023/11,2023/11/09,11,0,ok
2023,5,11,s42256-023-00737-y,2023/11,2023/10/19,7,0,ok
2023,5,11,s42256-023-00738-x,2023/11,2023/10/19,1,0,ok
2023,5,11,s42256-023-00739-w,2023/11,2023/10/26,9,0,ok
2023,5,11,s42256-023-00740-3,2023/11,2023/10/23,1,0,ok
2023,5,11,s42256-023-00741-2,2023/11,2023/10/19,3,0,ok
2023,5,11,s42256-023-00742-1,2023/11,2023/10/18,0,0,ok
2023,5,11,s42256-023-00743-0,2023/11,2023/11/17,0,0,ok
2023,5,11,s42256-023-00744-z,2023/11,2023/10/26,1,0,ok
2023,5,11,s42256-023-00745-y,2023/11,2023/10/26,3,0,ok
2023,5,11,s42256-023-00746-x,2023/11,2023/11/06,1,0,ok
2023,5,11,s42256-023-00750-1,2023/11,2023/11/10,0,0,ok
2023,5,11,s42256-023-00754-x,2023/11,2023/11/17,0,0,ok
2023,5,11,s42256-023-00769-4,2023/11,2023/11/17,0,0,ok
2023,5,12,s42256-023-00747-w,2023/12,2023/11/16,2,0,ok
2023,5,12,s42256-023-00748-9,2023/12,2023/11/20,2,0,ok
2023,5,12,s42256-023-00749-8,2023/12,2023/11/17,2,0,ok
2023,5,12,s42256-023-00751-0,2023/12,2023/11/06,1,0,ok
2023,5,12,s42256-023-00752-z,2023/12,2023/11/02,6,0,ok
2023,5,12,s42256-023-00753-y,2023/12,2023/11/13,1,0,ok
2023,5,12,s42256-023-00756-9,2023/12,2023/11/13,5,0,ok
2023,5,12,s42256-023-00757-8,2023/12,2023/11/16,6,0,ok
2023,5,12,s42256-023-00758-7,2023/12,2023/11/13,0,0,ok
2023,5,12,s42256-023-00759-6,2023/12,2023/12/18,3,0,ok
2023,5,12,s42256-023-00760-z,2023/12,2023/12/18,0,0,ok
2023,5,12,s42256-023-00761-y,2023/12,2023/12/04,1,0,ok
2023,5,12,s42256-023-00762-x,2023/12,2023/12/11,5,0,ok
2023,5,12,s42256-023-00764-9,2023/12,2023/12/05,1,0,ok
2023,5,12,s42256-023-00765-8,2023/12,2023/12/12,2,0,ok
2023,5,12,s42256-023-00766-7,2023/12,2023/12/18,0,0,ok
2023,5,12,s42256-023-00767-6,2023/12,2023/12/18,1,0,ok
2023,5,12,s42256-023-00768-5,2023/12,2023/12/18,0,0,ok
2023,5,12,s42256-023-00771-w,2023/12,2023/12/18,0,0,ok
2023,5,12,s42256-023-00782-7,2023/12,2023/12/18,0,0,ok
2024,6,1,s42256-023-00763-w,2024/01,2023/11/30,2,0,ok
2024,6,1,s42256-023-00770-x,2024/01,2023/12/27,0,0,ok
2024,6,1,s42256-023-00772-9,2024/01,2024/01/08,1,0,ok
2024,6,1,s42256-023-00774-7,2024/01,2024/01/15,0,0,ok
2024,6,1,s42256-023-00775-6,2024/01,2024/01/15,1,0,ok
2024,6,1,s42256-023-00776-5,2024/01,2024/01/08,10,0,ok
2024,6,1,s42256-023-00778-3,2024/01,2024/01/15,4,0,ok
2024,6,1,s42256-023-00779-2,2024/01,2024/01/10,12,0,ok
2024,6,1,s42256-023-00780-9,2024/01,2024/01/12,13,0,ok
2024,6,1,s42256-023-00781-8,2024/01,2024/01/24,1,0,ok
2024,6,1,s42256-023-00783-6,2024/01,2024/01/17,0,0,ok
2024,6,1,s42256-023-00784-5,2024/01,2024/01/24,0,0,ok
2024,6,1,s42256-023-00786-3,2024/01,2023/12/18,0,0,ok
2024,6,1,s42256-024-00796-9,2024/01,2024/01/24,0,0,ok
2024,6,2,s42256-023-00773-8,2024/02,2024/02/07,2,0,ok
2024,6,2,s42256-023-00785-4,2024/02,2024/02/20,0,0,ok
2024,6,2,s42256-023-00787-2,2024/02,2024/01/23,9,0,ok
2024,6,2,s42256-023-00788-1,2024/02,2024/02/06,1,0,ok
