File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00938-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_938_MOESM1_ESM_pdf.md,0,0,57584,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00939-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_939_MOESM1_ESM_pdf.md,0,0,13822,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00940-5/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_940_MOESM1_ESM_pdf.md,0,0,30129,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00943-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_943_MOESM1_ESM_pdf.md,0,0,23399,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00948-x/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_948_MOESM1_ESM_pdf.md,0,0,1516,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00949-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_949_MOESM1_ESM_pdf.md,0,0,12122,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00952-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_952_MOESM1_ESM_pdf.md,0,0,2264,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2025/s42256-024-00919-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_919_MOESM1_ESM_pdf.md,0,0,20467,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00772-9/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_772_MOESM1_ESM_pdf.md,0,0,4601,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00773-8/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_773_MOESM1_ESM_pdf.md,0,0,17600,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00775-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_775_MOESM1_ESM_pdf.md,0,0,8135,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00776-5/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_776_MOESM1_ESM_pdf.md,0,0,47228,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00778-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_778_MOESM1_ESM_pdf.md,0,0,16041,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-023-00779-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2023_779_MOESM1_ESM_pdf.md,0,0,12033,,
